ip;city;region;country;loc;org;timezone;hostname;postal;error
200.219.204.3;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS15830 Equinix (EMEA) Acquisition Enterprises B.V.;America/Sao_Paulo;static.datacenter1.com.br;01000-000;
85.56.57.66;León;Castille and León;ES;42.6000,-5.5703;AS12479 Orange Espagne SA;Europe/Madrid;66.pool85-56-57.dynamic.orange.es;24001;
202.127.78.82;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS4637 Telstra Global;Asia/Hong_Kong;unknown.telstraglobal.net;999077;
200.26.170.248;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS27887 WIND Telecom S.A.;America/Santo_Domingo;;10201;
202.126.214.138;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9381 HKBN Enterprise Solutions HK Limited;Asia/Hong_Kong;single.lfi.com.hk;999077;
190.167.108.233;Puerto Plata;Puerto Plata;DO;19.7934,-70.6884;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;233.108.167.190.l.static.codetel.net.do;10502;
190.166.216.137;Dajabón;Dajabón;DO;19.5488,-71.7083;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;137.216.166.190.f.sta.codetel.net.do;10801;
185.115.52.233;Madrid;Madrid;ES;40.4165,-3.7026;AS6739 VODAFONE ONO, S.A.;Europe/Madrid;;28004;
185.115.52.235;Madrid;Madrid;ES;40.4165,-3.7026;AS6739 VODAFONE ONO, S.A.;Europe/Madrid;;28004;
177.159.150.205;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS18881 TELEFÔNICA BRASIL S.A;America/Sao_Paulo;corporativo.static.gvt.net.br;01000-000;
81.42.221.234;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;234.red-81-42-221.staticip.rima-tde.net;28004;
202.69.71.241;Sha Tin;Sha Tin;HK;22.3833,114.1833;AS9381 HKBN Enterprise Solutions HK Limited;Asia/Hong_Kong;;999077;
187.32.168.17;Osasco;São Paulo;BR;-23.5325,-46.7917;AS16735 ALGAR TELECOM S/A;America/Sao_Paulo;187-032-168-017.static.ctbctelecom.com.br;06000-000;
2.139.163.93;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;93.red-2-139-163.staticip.rima-tde.net;28004;
148.101.185.121;Puerto Plata;Puerto Plata;DO;19.7934,-70.6884;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;121.185.101.148.l.static.claro.net.do;10502;
183.178.167.17;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS10103 HK Broadband Network Ltd.;Asia/Hong_Kong;183178167017.ctinets.com;999077;
62.37.224.203;Madrid;Madrid;ES;40.4165,-3.7026;AS12479 Orange Espagne SA;Europe/Madrid;62.37.224.203.static.abi.uni2.es;28004;
177.129.42.81;Limoeiro do Norte;Ceará;BR;-5.1456,-38.0981;AS28257 CONCEITOS NET SERVICOS DE COMUNICACAO E MULTIMIDIA;America/Fortaleza;din-177-129-42-81.conceitosinformatica.com.br;62930-000;
202.155.242.18;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS9381 HKBN Enterprise Solutions HK Limited;Asia/Hong_Kong;;999077;
66.98.81.33;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;81.98.66.l.static.claro.net.do;10201;
177.38.33.122;Recife;Pernambuco;BR;-8.0539,-34.8811;AS28310 SMART TELECOMUNICACOES E SERVICOS LTDA.;America/Recife;122.33.38.177.smart.net.br;50000-000;
179.52.216.62;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;62.216.52.179.d.dyn.claro.net.do;10201;
72.255.244.31;Sha Tin;Sha Tin;HK;22.3833,114.1833;AS4760 HKT Limited;Asia/Hong_Kong;72-255-244-031.static.imsbiz.com;999077;
63.217.17.82;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS3491 PCCW Global, Inc.;Asia/Hong_Kong;delonghi.ge100-0-0-18.1101.br02.hkg15.as3491.net;999077;
200.0.46.102;Brasília;Federal District;BR;-15.7797,-47.9297;AS61889 BR.Digital Provider;America/Sao_Paulo;200-0-46-102.brdigital.net.br;70000-000;
66.98.88.9;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;9l.static.claro.net.do;10201;
113.212.225.242;Healthy Village;Eastern;HK;22.2912,114.2062;AS10132 Towngas Telecommunications Fixed Network Ltdetwork Ltd;Asia/Hong_Kong;;999077;
185.115.52.222;Madrid;Madrid;ES;40.4165,-3.7026;AS6739 VODAFONE ONO, S.A.;Europe/Madrid;;28004;
2.136.222.0;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;0.red-2-136-222.staticip.rima-tde.net;28004;
191.239.122.70;São Paulo;São Paulo;BR;-23.5475,-46.6361;AS8075 Microsoft Corporation;America/Sao_Paulo;;01000-000;
95.60.156.169;Bilbao;Basque Country;ES;43.2627,-2.9253;AS12430 VODAFONE ESPANA S.A.U.;Europe/Madrid;static-169-156-60-95.ipcom.comunitel.net;48001;
148.101.181.97;Salvaleón de Higüey;La Altagracia Province;DO;18.6150,-68.7080;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;97.181.101.148.l.static.claro.net.do;;
83.56.41.202;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;202.red-83-56-41.staticip.rima-tde.net;28004;
148.255.248.171;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;171.248.255.148.l.static.claro.net.do;10201;
212.145.95.26;Madrid;Madrid;ES;40.4638,-3.5923;AS12430 VODAFONE ESPANA S.A.U.;Europe/Madrid;static-26-95-145-212.ipcom.comunitel.net;28042;
45.125.115.51;Hong Kong;Hong Kong;HK;22.2783,114.1747;AS64047 Viking Telecom Limited;Asia/Hong_Kong;;999077;
201.23.68.130;São Paulo;São Paulo;BR;-23.5475,-46.6361;;America/Sao_Paulo;;01000-000;
